,Budget,Cost,TotalTravel(mi)
0,1000000,5000,4014963.3032322754
1,1000000,10000,4671380.350097939
2,1000000,25000,6166895.072483659
3,1000000,50000,7811310.0007443335
4,1000000,75000,10826536.851412091
5,1000000,100000,13817684.496683057
6,2500000,5000,3053207.224155117
7,2500000,10000,3053207.224155117
8,2500000,25000,3053244.184136007
9,2500000,50000,3500985.4202402458
10,2500000,75000,4061720.3433005014
11,2500000,100000,4578462.457535236
12,5000000,5000,3053207.224155117
13,5000000,10000,3053207.224155117
14,5000000,25000,3053142.6113936636
15,5000000,50000,3053243.5771074193
16,5000000,75000,3053142.6113936636
17,5000000,100000,3175081.6956123356
18,10000000,5000,3053142.6113936636
19,10000000,10000,3053142.6113936636
20,10000000,25000,3053142.6113936636
21,10000000,50000,3053142.6113936636
22,10000000,75000,3053142.6113936636
23,10000000,100000,3053142.6113936636
24,15000000,5000,3053142.6113936636
25,15000000,10000,3053142.6113936636
26,15000000,25000,3053142.6113936636
27,15000000,50000,3053142.6113936636
28,15000000,75000,3053142.6113936636
29,15000000,100000,3053142.6113936636
